iter	Passed	Remaining
227	1002	3392
228	1006	3387
229	1011	3384
230	1015	3379
231	1019	3373
232	1023	3368
233	1027	3364
234	1031	3357
235	1035	3351
236	1038	3344
237	1043	3339
238	1046	3333
239	1050	3326
240	1055	3322
241	1060	3321
242	1063	3314
243	1067	3308
244	1071	3301
245	1076	3298
246	1079	3292
247	1083	3285
248	1087	3279
249	1091	3275
250	1095	3268
251	1098	3261
252	1102	3254
253	1106	3250
254	1110	3244
255	1114	3238
256	1118	3232
257	1122	3227
258	1126	3221
259	1129	3215
260	1133	3208
261	1137	3203
262	1141	3197
263	1144	3191
264	1148	3184
265	1151	3177
266	1155	3173
267	1159	3166
268	1162	3160
269	1166	3154
270	1170	3149
271	1174	3143
272	1177	3136
273	1181	3130
274	1186	3127
275	1191	3126
276	1196	3122
277	1201	3121
278	1206	3119
279	1211	3116
280	1217	3114
281	1222	3112
282	1227	3109
283	1232	3106
284	1237	3105
285	1242	3102
286	1247	3099
287	1252	3097
288	1257	3093
289	1261	3089
290	1268	3089
291	1273	3088
292	1279	3087
293	1299	3119
294	1308	3126
295	1321	3143
296	1360	3221
297	1367	3222
298	1379	3233
299	1386	3236
300	1393	3235
301	1398	3233
302	1403	3228
303	1407	3223
304	1413	3220
305	1417	3215
306	1422	3210
307	1427	3206
308	1431	3202
309	1436	3197
310	1440	3192
311	1445	3187
312	1450	3182
313	1454	3177
314	1458	3172
315	1463	3167
316	1467	3161
317	1471	3156
318	1477	3153
319	1481	3148
320	1485	3142
321	1490	3137
322	1495	3133
323	1499	3128
324	1503	3122
325	1508	3118
326	1512	3112
327	1516	3107
328	1521	3102
329	1525	3097
330	1529	3092
331	1534	3086
332	1538	3081
333	1543	3076
334	1547	3071
335	1551	3065
336	1555	3060
337	1560	3055
338	1564	3049
339	1568	3043
340	1572	3039
341	1576	3033
342	1580	3027
343	1584	3022
344	1591	3021
345	1595	3015
346	1599	3009
347	1604	3006
348	1608	3001
349	1613	2995
350	1617	2991
351	1622	2987
352	1627	2982
353	1631	2976
354	1635	2971
355	1640	2967
356	1644	2962
357	1649	2958
358	1655	2955
359	1659	2950
360	1664	2945
361	1669	2942
362	1673	2936
363	1677	2930
364	1681	2925
365	1686	2920
366	1690	2915
367	1693	2909
368	1697	2903
369	1702	2898
370	1706	2892
371	1710	2887
372	1714	2881
373	1718	2876
374	1722	2871
375	1726	2865
376	1730	2859
377	1735	2855
378	1739	2849
379	1742	2843
380	1746	2837
381	1751	2833
382	1755	2828
383	1759	2822
384	1763	2816
385	1767	2811
386	1771	2805
387	1775	2799
388	1778	2794
389	1783	2789
390	1786	2783
391	1790	2777
392	1794	2771
393	1799	2767
394	1803	2762
395	1807	2756
396	1810	2750
397	1815	2746
398	1819	2740
399	1823	2734
400	1827	2729
401	1831	2724
402	1835	2719
403	1839	2713
404	1843	2708
405	1847	2703
406	1851	2697
407	1855	2692
408	1859	2686
409	1863	2681
410	1867	2676
411	1871	2670
412	1875	2665
413	1879	2660
414	1883	2655
415	1887	2649
416	1891	2644
417	1896	2640
418	1900	2635
419	1905	2630
420	1909	2626
421	1914	2622
422	1918	2617
423	1922	2611
424	1928	2608
425	1933	2604
426	1937	2599
427	1941	2595
428	1946	2591
429	1950	2586
430	1955	2581
431	1960	2578
432	1965	2573
433	1969	2568
434	1973	2563
435	1979	2560
436	1984	2556
437	1988	2551
438	1994	2548
439	1998	2543
440	2003	2539
441	2008	2535
442	2013	2531
443	2017	2527
444	2022	2521
445	2028	2519
446	2033	2515
447	2036	2509
448	2042	2506
449	2046	2501
450	2050	2495
451	2053	2489
452	2060	2487
453	2064	2482
454	2068	2477
455	2073	2474
456	2078	2469
457	2083	2465
458	2088	2461
459	2093	2457
460	2098	2453
461	2101	2447
462	2108	2444
463	2112	2440
464	2116	2435
465	2122	2431
466	2126	2426
467	2130	2421
468	2134	2416
469	2140	2413
470	2144	2408
471	2148	2403
472	2155	2401
473	2160	2397
474	2164	2392
475	2171	2390
476	2176	2385
477	2180	2380
478	2186	2378
479	2191	2374
480	2196	2370
481	2202	2367
482	2207	2363
483	2212	2358
484	2219	2356
485	2224	2353
486	2229	2348
487	2235	2345
488	2240	2341
489	2244	2336
490	2250	2333
491	2255	2328
492	2260	2324
493	2265	2320
494	2270	2316
495	2275	2311
496	2280	2307
497	2285	2303
498	2289	2299
499	2293	2293
500	2299	2290
501	2303	2285
502	2308	2280
503	2312	2276
504	2317	2271
505	2322	2266
506	2325	2261
507	2332	2258
508	2336	2253
509	2340	2248
510	2345	2244
511	2350	2240
512	2355	2236
513	2360	2231
514	2365	2227
515	2370	2223
516	2373	2217
517	2379	2214
518	2384	2209
519	2389	2205
520	2395	2202
521	2400	2197
522	2404	2193
523	2412	2191
524	2417	2186
525	2422	2183
526	2430	2181
527	2436	2178
528	2446	2178
529	2453	2175
530	2460	2173
531	2465	2168
532	2471	2165
533	2479	2163
534	2484	2159
535	2491	2157
536	2498	2153
537	2503	2149
538	2512	2148
539	2517	2144
540	2526	2143
541	2531	2139
542	2538	2136
543	2544	2132
544	2548	2128
545	2556	2125
546	2560	2120
547	2565	2116
548	2573	2114
549	2578	2109
550	2583	2105
551	2592	2104
552	2598	2100
553	2605	2097
554	2610	2093
555	2615	2088
556	2626	2088
557	2631	2084
558	2640	2083
559	2645	2078
560	2652	2075
561	2658	2071
562	2663	2067
563	2671	2065
564	2676	2060
565	2683	2057
566	2689	2053
567	2694	2049
568	2702	2046
569	2707	2042
570	2713	2038
571	2721	2036
572	2726	2031
573	2735	2030
574	2742	2027
575	2751	2025
576	2758	2022
577	2767	2020
578	2772	2015
579	2778	2011
580	2785	2008
581	2790	2004
582	2797	2000
583	2803	1997
584	2810	1993
585	2816	1990
586	2823	1986
587	2833	1985
588	2838	1980
589	2847	1978
590	2852	1974
591	2858	1969
592	2865	1966
593	2869	1961
594	2875	1957
595	2881	1953
596	2886	1948
597	2891	1944
598	2896	1939
599	2901	1934
600	2907	1930
601	2912	1925
602	2918	1921
603	2924	1917
604	2929	1912
605	2934	1907
606	2940	1903
607	2944	1898
608	2949	1893
609	2955	1889
610	2960	1884
611	2964	1879
612	2969	1874
613	2975	1870
614	2980	1865
615	2984	1860
616	2990	1856
617	2994	1851
618	2999	1845
619	3004	1841
620	3009	1836
621	3014	1831
622	3019	1827
623	3025	1822
624	3030	1818
625	3036	1814
626	3041	1809
627	3045	1804
628	3051	1799
629	3057	1795
630	3062	1790
631	3066	1785
632	3073	1781
633	3078	1777
634	3083	1772
635	3088	1767
636	3093	1762
637	3097	1757
638	3103	1753
639	3108	1748
640	3113	1743
641	3119	1739
642	3124	1734
643	3129	1729
644	3135	1725
645	3140	1720
646	3144	1715
647	3150	1711
648	3155	1706
649	3159	1701
650	3164	1696
651	3169	1691
652	3173	1686
653	3178	1681
654	3183	1676
655	3187	1671
656	3192	1666
657	3196	1661
658	3201	1656
659	3205	1651
660	3210	1646
661	3215	1641
662	3220	1636
663	3226	1632
664	3232	1628
665	3236	1623
666	3241	1618
667	3247	1613
668	3251	1608
669	3254	1603
670	3258	1597
671	3263	1592
672	3267	1587
673	3270	1581
674	3273	1576
675	3278	1571
676	3281	1565
677	3285	1560
678	3288	1554
679	3293	1549
680	3296	1544
681	3300	1538
682	3303	1533
683	3308	1528
684	3312	1523
685	3315	1517
686	3319	1512
687	3322	1506
688	3347	1510
689	3355	1507
690	3362	1503
691	3367	1498
692	3371	1493
693	3376	1488
694	3380	1483
695	3383	1478
696	3387	1472
697	3407	1474
698	3410	1468
699	3414	1463
700	3417	1457
701	3421	1452
702	3425	1447
703	3428	1441
704	3431	1435
705	3434	1430
706	3439	1425
707	3442	1419
708	3445	1414
709	3448	1408
710	3451	1402
711	3455	1397
712	3458	1392
713	3461	1386
714	3464	1380
715	3467	1375
716	3471	1370
717	3474	1364
718	3477	1359
719	3480	1353
720	3483	1348
721	3487	1342
722	3490	1337
723	3493	1331
724	3497	1326
725	3500	1321
726	3504	1315
727	3507	1310
728	3510	1304
729	3513	1299
730	3516	1294
731	3520	1288
732	3523	1283
733	3527	1278
734	3530	1272
735	3535	1268
736	3538	1262
737	3541	1257
738	3545	1252
739	3548	1246
740	3552	1241
741	3556	1236
742	3559	1231
743	3562	1225
744	3566	1220
745	3570	1215
746	3573	1210
747	3576	1204
748	3579	1199
749	3583	1194
750	3587	1189
751	3590	1184
752	3593	1178
753	3597	1173
754	3601	1168
755	3604	1163
756	3608	1158
757	3611	1153
758	3615	1148
759	3622	1144
760	3630	1140
761	3636	1135
762	3643	1131
763	3654	1128
764	3663	1125
765	3672	1121
766	3677	1117
767	3683	1112
768	3691	1108
769	3697	1104
770	3701	1099
771	3705	1094
772	3710	1089
773	3714	1084
774	3718	1079
775	3722	1074
776	3725	1069
777	3730	1064
778	3734	1059
779	3738	1054
780	3742	1049
781	3746	1044
782	3750	1039
783	3754	1034
784	3759	1029
785	3763	1024
786	3766	1019
787	3770	1014
788	3774	1009
789	3779	1004
790	3782	999
791	3786	994
792	3790	989
793	3794	984
794	3798	979
795	3802	974
796	3806	969
797	3810	964
798	3814	959
799	3818	954
800	3822	949
801	3827	944
802	3831	939
803	3834	934
804	3840	930
805	3845	925
806	3848	920
807	3852	915
808	3857	910
809	3860	905
810	3864	900
811	3868	895
812	3873	890
813	3877	885
814	3881	881
815	3885	876
816	3891	871
817	3895	866
818	3900	862
819	3906	857
820	3910	852
821	3914	847
822	3920	843
823	3924	838
824	3928	833
825	3933	828
826	3938	823
827	3943	819
828	3947	814
829	3955	810
830	3959	805
831	3964	800
832	3970	796
833	3974	791
834	3979	786
835	3986	782
836	3990	777
837	3994	772
838	3999	767
839	4004	762
840	4009	758
841	4014	753
842	4020	748
843	4024	743
844	4030	739
845	4036	734
846	4042	730
847	4049	725
848	4054	721
849	4060	716
850	4066	712
851	4071	707
852	4076	702
853	4082	698
854	4087	693
855	4093	688
856	4100	684
857	4105	679
858	4112	675
859	4118	670
860	4122	665
861	4131	661
862	4136	656
863	4141	651
864	4147	647
865	4152	642
866	4157	637
867	4163	633
868	4168	628
869	4172	623
870	4178	618
871	4182	613
872	4187	609
873	4192	604
874	4197	599
875	4201	594
876	4206	589
877	4212	585
878	4216	580
879	4221	575
880	4228	571
881	4233	566
882	4238	561
883	4243	556
884	4247	551
885	4252	547
886	4257	542
887	4261	537
888	4265	532
889	4269	527
890	4274	522
891	4279	518
892	4284	513
893	4289	508
894	4293	503
895	4297	498
896	4301	493
897	4308	489
898	4313	484
899	4318	479
900	4324	475
901	4329	470
902	4334	465
903	4348	461
904	4354	457
905	4359	452
906	4364	447
907	4371	442
908	4376	438
909	4381	433
910	4386	428
911	4392	423
912	4397	418
913	4402	414
914	4408	409
915	4412	404
916	4417	399
917	4423	395
918	4428	390
919	4434	385
920	4440	380
921	4445	376
922	4452	371
923	4457	366
924	4462	361
925	4468	357
926	4473	352
927	4477	347
928	4484	342
929	4488	337
930	4493	332
931	4498	328
932	4503	323
933	4507	318
934	4511	313
935	4517	308
936	4521	304
937	4526	299
938	4531	294
939	4535	289
940	4539	284
941	4543	279
942	4548	274
943	4552	270
944	4556	265
945	4561	260
946	4566	255
947	4571	250
948	4575	245
949	4580	241
950	4584	236
951	4588	231
952	4593	226
953	4598	221
954	4602	216
955	4606	212
956	4611	207
957	4615	202
958	4619	197
959	4623	192
960	4628	187
961	4632	183
962	4636	178
963	4641	173
964	4647	168
965	4651	163
966	4655	158
967	4661	154
968	4665	149
969	4669	144
970	4674	139
971	4678	134
972	4682	129
973	4687	125
974	4692	120
975	4696	115
976	4701	110
977	4705	105
978	4710	101
979	4714	96
980	4718	91
981	4722	86
982	4726	81
983	4730	76
984	4734	72
985	4738	67
986	4742	62
987	4747	57
988	4751	52
989	4757	48
990	4761	43
991	4765	38
992	4769	33
993	4774	28
994	4778	24
995	4782	19
996	4787	14
997	4792	9
998	4796	4
999	4801	0
